Angehörige-ID,Nachname,Vorname,Straße + Hnr,PLZ,Wohnort,zugehöriger Patient,Patienten-Nr,Telefon,E-Mail,Beziehung zum Patienten,letzter Kontakt,Art des Kontaktes,Notizen,Rolle
A0011,Haase,Mohamed,Pärtzeltstraße 20,01640,Holzminden,Höfig Rudolph,P0221,+49 (0) 4278 680112,koch-iiconstanze@example.net,Enkel,2025-01-11,Telefon,Auf Hase Wiese Zeit.,Angehöriger
A0012,Klemt,Arnulf,Hanny-Hering-Allee 12,58692,Eberswalde,Rörricht Wulf,P0390,+49 (0) 6025 634216,moechlichenhelge@example.org,Ehepartner,2025-05-13,Brief,Gut traurig vom fallen richtig holen Fußball.,Angehöriger
A0013,Wirth,Christof,Killerweg 45,85014,Rostock,Seifert Adele,P0619,+49(0)0196 55698,krauserotraut@example.net,Enkel,2025-01-18,Telefon,Schwarz ab Wetter.,Angehöriger
A0014,Striebitz,Astrid,Otto-Losekann-Gasse 94,95148,Strasburg,Niemeier Jonas,P0471,0564823662,rudi80@example.com,Nachbar,2025-02-05,Telefon,Stark nie Gesicht kam schauen Licht.,Angehöriger
A0015,Wähner,Loni,Gertraude-Caspar-Ring 49,13433,Aue,Liebelt Kristiane,P0081,+49(0)3791769367,jhenk@example.net,Nachbar,2025-04-19,Brief,Springen etwas suchen Schnee.,Angehöriger
A0016,Binner,Vito,Simone-Eberhardt-Straße 81,78895,Schrobenhausen,Hörle Tobias,P0634,06872 77434,pschomber@example.com,Enkel,2025-03-05,E-Mail,Fenster glauben was Bett dich.,Angehöriger
A0017,Täsche,Ramazan,Ilonka-Hamann-Gasse 25,65876,Forst,Matthäi Volkhard,P0722,0690967054,ilindner@example.net,Ehepartner,2025-04-28,Telefon,Weg laut früh laufen Himmel Sache Straße sehen.,Angehöriger
A0018,Mosemann,Melissa,Elwira-Reinhardt-Gasse 85,99016,Moers,Karz Ralf,P0234,+49 (0) 0465 375564,fherrmann@example.com,Enkel,2024-12-18,Telefon,Bald Woche fallen Bein Wohnung auch antworten.,Angehöriger
A0019,Gute,Ivan,Else-Fliegner-Platz 30,71937,Kelheim,Heidrich Sedat,P0888,+49 (0) 9912 419049,tkruschwitz@example.org,Ehepartner,2024-12-28,Videocall,Fiel schnell gefährlich Schiff Tag stellen Mutter auch.,Angehöriger
A0020,Lorch,Anny,Bohnbachstr. 36,06716,Sigmaringen,Eimer Eveline,P0465,02628 498776,mariusz31@example.com,Geschwister,2025-05-25,Brief,Singen mögen rund glauben legen.,Angehöriger
A0021,Gnatz,Martin,Hahnring 21,54948,Osterode am Harz,Ehlert Jo,P0380,+49(0) 136783777,davidsklaus-ulrich@example.org,Enkel,2025-02-27,Besuch,Gehören nah Küche Mama ist.,Angehöriger
A0022,Rogner,Julie,Kitzmannweg 86,44431,Herford,Schmidt Hartwig,P0274,+49(0)8233 749894,gudeknut@example.org,Geschwister,2025-02-19,Telefon,Als man früher Zeitung Minute.,Angehöriger
A0023,Eberth,Hertha,Dobesallee 78,94777,Erbisdorf,Jähn Hulda,P0651,+49(0)4711671902,mareilerose@example.com,Kind,2024-12-30,E-Mail,Danach Sonne nie steigen Familie.,Angehöriger
A0024,Kramer,Annedore,Margrafring 94,49909,Zossen,Sorgatz Wally,P0251,+49(0) 341232812,langetomislav@example.net,Kind,2025-04-02,Videocall,Apfel gab führen versuchen beißen.,Angehöriger
A0025,Hettner,Horst,Silvio-Drewes-Weg 49,24210,Hechingen,Mentzel Ingetraut,P0277,(09471) 746488,fmangold@example.net,Geschwister,2024-12-22,E-Mail,Selbst nichts anfangen fast schaffen viel.,Angehöriger
A0026,Bärer,Cäcilia,Rustgasse 29,78742,Sigmaringen,Binner Türkan,P0702,01756 551256,qhoevel@example.com,Enkel,2025-05-12,Telefon,Arbeiten blau Flasche dafür Spiel vier trinken.,Angehöriger
A0027,Sontag,Abdullah,Lehmanngasse 30,85977,Forchheim,Steinberg Lydia,P0842,+49(0)8247 71093,louisrohleder@example.org,Ehepartner,2025-03-26,Brief,Fallen unser dabei Wissen.,Angehöriger
A0028,Fliegner,Friedericke,Trubinring 52,67737,Kulmbach,Scholz Angelique,P0275,+49(0) 982146584,holzapfelivana@example.com,Ehepartner,2025-05-17,Besuch,Überall leben deshalb Meer Gott Milch mein Klasse.,Angehöriger
A0029,Graf,Marius,Charlotte-Kraus-Platz 73,05766,Norden,Bolzmann Dietmar,P0898,+49(0)2895171870,sahinsoelzer@example.org,Geschwister,2024-12-28,Brief,Gleich Schluss Rad verkaufen verlieren.,Angehöriger
A0030,Reinhardt,Natalia,Junckweg 28,80913,Geithain,Eckbauer Kurt,P0672,+49(0)6117 240050,ortwin56@example.org,Freund,2025-01-28,Videocall,Mutter Stein drei Bett vom ob.,Angehöriger
A0031,Oestrovsky,Ilija,Hinrich-Misicher-Allee 83,74074,Bersenbrück,Hartung Tamara,P0470,05946 474367,hellwigralf-dieter@example.net,Kind,2025-02-18,Brief,Zwischen Garten Zimmer rennen früher.,Angehöriger
A0032,Striebitz,Carolin,Sibylle-auch Schlauchin-Allee 18,43953,Schweinfurt,Fliegner Siegfried,P0253,+49(0)2104 70952,huebelmato@example.net,Geschwister,2025-03-01,E-Mail,Davon Meer Zeit Mama Welt.,Angehöriger
A0033,Gehringer,Maritta,Nergerallee 69,51712,Säckingen,Löffler Herma,P0270,(06851) 60481,rkoch@example.net,Geschwister,2025-04-17,E-Mail,Herz packen heißen schauen Küche ob wirklich gewinnen.,Angehöriger
A0034,Hartung,Elena,Evi-Mitschke-Allee 55,61200,Niesky,Hande Janko,P0920,+49(0)1382 675869,reinhildeliebelt@example.net,Nachbar,2025-01-02,Videocall,Nächste wir Fußball schlecht etwas Katze Ferien.,Angehöriger
A0035,Dippel,Otmar,Ringweg 47,06431,Bremen,Adler Solveig,P0225,(03900) 53293,wielochbirthe@example.org,Kind,2025-04-01,E-Mail,Gewinnen der Weg Abend versuchen.,Angehöriger
A0036,Ehlert,Friedrich-Wilhelm,Gertzgasse 64,20539,Apolda,Lindner Annedore,P0094,+49 (0) 4026 811775,mentzelalmuth@example.org,Ehepartner,2025-06-06,Telefon,Sehr weit richtig.,Angehöriger
A0037,Mielcarek,Ladislaus,Burghard-Naser-Straße 20,17711,Schmölln,van der Dussen Hannah,P0643,+49 (0) 1249 985698,udo89@example.com,Kind,2025-01-02,Videocall,Verlieren rechnen sonst sechs.,Angehöriger
A0038,Losekann,Heinz-Dieter,Heidrichstraße 77,76615,Helmstedt,Beckmann Kerstin,P0066,(04527) 11116,weinhagejoana@example.com,Freund,2025-05-12,Videocall,Baum Wohnung Monate Sache ihm von wird.,Angehöriger
A0039,Ullmann,Sigmar,Wendelin-Hövel-Weg 77,51983,Staßfurt,Bonbach Jakob,P0480,03158 514936,schlossersuse@example.net,Nachbar,2025-05-15,Brief,Angst früh Sommer werden gut.,Angehöriger
A0040,Fechner,Hans-Bernd,Bohnbachplatz 71,18366,Hünfeld,Kroker Werner,P0882,+49 (0) 5459 910229,steuerdarius@example.com,Ehepartner,2025-03-06,Telefon,Laufen kann früh so dabei Jahr.,Angehöriger
A0041,Stiebitz,Karlfried,Putzweg 88,03690,Forchheim,Klotz Hedda,P0907,+49(0)3244 51076,floriankramer@example.net,Nachbar,2025-04-22,Brief,Monat rund haben hoch sie Junge kochen.,Angehöriger
A0042,Johann,Czeslaw,Ruppersbergerstraße 99,41605,Schwarzenberg,Klotz Veit,P0657,05161 369681,vjessel@example.com,Enkel,2025-01-24,Telefon,Berg Onkel Mama Eltern.,Angehöriger
A0043,Keudel,Leni,Vogtallee 38,31243,Scheinfeld,Franke Reinhardt,P0446,+49 (0) 1277 997995,gerd71@example.com,Kind,2025-03-05,Videocall,Stellen neben Haare bekommen kommen.,Angehöriger
A0044,Bohlander,Arnfried,Hörlegasse 1,99867,Meppen,Hornig Marie-Louise,P0977,(03597) 820715,paertzeltfreya@example.org,Geschwister,2024-12-22,Brief,Zwei Luft noch Hase wenn Hilfe.,Angehöriger
A0045,Kambs,Leila,Lisa-Schüler-Allee 65,15186,Greifswald,Holt Leyla,P0781,(09251) 92546,dianetrommler@example.org,Kind,2025-02-09,E-Mail,Platz gewinnen darin schreien Wissen über.,Angehöriger
A0046,Putz,Siegrun,Freya-Steckel-Straße 14,05423,Neuss,Rudolph Natalja,P0892,+49(0) 322141888,speermichail@example.net,Geschwister,2025-01-07,Brief,Die eigentlich Schluss oder Weihnachten sechs.,Angehöriger
A0047,Langern,Aziz,Steyweg 82,79473,Heiligenstadt,Wende Irmtrud,P0520,03597 746886,margittagute@example.net,Nachbar,2025-01-09,Besuch,Bald langsam heißen Wiese schwer.,Angehöriger
A0048,Ebert,Ann,Carstenallee 20,47826,Gadebusch,Möchlichen Sarah,P0383,05060 685361,helmut05@example.org,Kind,2025-05-17,E-Mail,Stein dein für turnen Schnee dem.,Angehöriger
A0049,Möchlichen,Ilka,Schmiedtgasse 100,04328,Calau,Beyer Kunibert,P0945,+49(0)3410 36971,ortmanndolores@example.net,Nachbar,2024-12-18,Telefon,Müssen Schüler ganz ab Haare möglich einige.,Angehöriger
A0050,Caspar,Gordana,Börnerstr. 77,67065,Wolfratshausen,Benthin Kunibert,P0332,+49(0)5153195205,margarete27@example.net,Freund,2025-03-12,Telefon,Tief bei sprechen klettern.,Angehöriger
A0051,Gutknecht,Klaus-Michael,Lissi-Gute-Gasse 15,48687,Bad Freienwalde,Schmidtke Hans-Gerhard,P0952,(03450) 54156,cweimer@example.com,Enkel,2025-02-15,Brief,Lehrer Lehrerin werfen Loch.,Angehöriger
A0052,Carsten,Luzia,Budigstraße 31,84511,Stendal,Köster Sieghard,P0060,+49(0)4796 27570,elisabet64@example.net,Kind,2025-06-12,E-Mail,Berg packen Hase Stück.,Angehöriger
A0053,Freudenberger,Hannah,Friedhold-Schlosser-Allee 11,02135,Kulmbach,Neureuther Liesa,P0088,(00927) 557192,rocco54@example.org,Geschwister,2025-06-08,Videocall,Selbst leicht Hilfe.,Angehöriger
A0054,Drubin,Canan,Wohlgemutring 9,39473,Demmin,Barth Mariechen,P0779,+49(0)7271 551884,miroslawa22@example.com,Nachbar,2025-03-18,Besuch,Zur Stein fertig legen.,Angehöriger
A0055,Röhrdanz,Oswin,Mosemannallee 17,91146,Passau,Jacob Sepp,P0676,0691251778,fernando89@example.org,Freund,2025-05-04,E-Mail,Jetzt weiter bauen daran.,Angehöriger
A0056,Jähn,Gerhardt,Gotthard-Junitz-Allee 22,58414,Sigmaringen,Klotz Czeslaw,P0272,04249 81829,guentersorgatz@example.net,Nachbar,2025-04-25,E-Mail,Gleich werfen auch vielleicht Bild Wissen Spaß Freude.,Angehöriger
A0057,Wilms,Heiko,Schönlandweg 55,78447,Tirschenreuth,Börner Moritz,P0988,0471027677,milosauch-schlauchin@example.org,Kind,2025-02-10,E-Mail,Selbst viel ziehen dauern heiß Monate.,Angehöriger
A0058,Hendriks,Marco,Eberhardtring 97,32104,Schwandorf,Seidel Alf,P0748,0325953278,tortmann@example.com,Geschwister,2024-12-19,Besuch,Lesen zehn Essen Haare baden legen.,Angehöriger
A0059,Söding,Rebecca,Hörlestr. 92,16245,Kehl,Dobes Annelies,P0320,+49(0)6098358416,jwieloch@example.com,Freund,2025-05-15,Brief,Schenken danach ziehen hinein stellen gleich wir so.,Angehöriger
A0060,Schleich,Hans-Uwe,Ottogasse 57,02578,Dresden,Metz Wally,P0922,(08259) 526949,amelie88@example.com,Nachbar,2025-04-23,Videocall,Lachen also gibt böse im.,Angehöriger
A0061,van der Dussen,Leopold,Dolores-Mühle-Ring 16,09728,Donaueschingen,Dehmel Adelheid,P0254,(03091) 30756,sandorstumpf@example.org,Kind,2025-02-28,Telefon,Wer von setzen bei dem erst gestern rot.,Angehöriger
A0062,Kohl,Anneli,Gerlachstraße 44,85497,Gotha,Scheibe Leonid,P0022,+49(0)8434 43757,bruni44@example.org,Nachbar,2025-03-29,E-Mail,Herr zu tot wohl suchen ganz für.,Angehöriger
A0063,Budig,Inken,Margrafweg 30,73384,Dessau,Girschner Michaele,P0603,+49(0)9933 083301,tkabus@example.com,Kind,2025-01-02,Telefon,Aber Milch wie hören.,Angehöriger
A0064,Mülichen,Sylvia,Sieringplatz 10,54019,Pfaffenhofen an der Ilm,Löchel Philip,P0725,+49(0)2620672400,catharina91@example.com,Geschwister,2025-02-05,Telefon,Luft warten dazu lernen früh Teller gibt.,Angehöriger
A0065,Mielcarek,Janin,Truppplatz 30,54932,Main-Höchst,Noack Evangelia,P0070,05161 22753,hessramon@example.org,Ehepartner,2025-03-06,Brief,Wohl gegen See alle reich.,Angehöriger
A0066,Heinz,Helmtrud,Gloria-Drubin-Straße 10,26841,Kelheim,Wulf Patrik,P0527,(03327) 279568,iwernecke@example.net,Kind,2025-05-15,Brief,Schenken nennen stehen lustig machen.,Angehöriger
A0067,Buchholz,Otfried,Burkhard-Rogge-Weg 86,98225,Chemnitz,Buchholz Michelle,P0498,(03971) 87072,kmeyer@example.org,Kind,2025-03-27,E-Mail,See hinter Tisch sieht Nacht.,Angehöriger
A0068,Löchel,Baptist,Thiesgasse 17,17046,Demmin,Scholtz Viviane,P0741,(06567) 66182,ernest28@example.com,Nachbar,2025-03-21,E-Mail,Um sofort zu kommen Schüler.,Angehöriger
A0069,Reichmann,Sigurd,Heinplatz 61,52431,Stendal,Häring Friedrich-Wilhelm,P0249,0903311907,henscheljohanne@example.org,Freund,2025-02-26,Videocall,Meer so sprechen den zwischen.,Angehöriger
A0070,Wagenknecht,Horst-Dieter,Ruststr. 25,34283,Hannover,Becker Hannelore,P0097,+49(0)0892 68705,hzimmer@example.com,Ehepartner,2025-04-21,Videocall,Deshalb her so lachen vergessen gefährlich.,Angehöriger
A0071,Fechner,Imke,Bohlanderstr. 46,68826,Greiz,Haering Fritz,P0434,+49(0) 517518304,msteinberg@example.net,Freund,2024-12-22,Videocall,Einigen Sommer sehen Monat.,Angehöriger
A0072,Hänel,Wolf,Jähngasse 94,31739,Lichtenfels,Bender Isa,P0056,+49(0) 854678544,anica77@example.org,Geschwister,2025-05-10,Telefon,Sommer Geschichte Erde genau aus vier sicher.,Angehöriger
A0073,Heß,Alexej,Hübelplatz 8,53693,Quedlinburg,Freudenberger Silvana,P0413,(05477) 72522,igorlitz@example.net,Geschwister,2025-06-08,Brief,Arbeit Vater wissen rund Sonne ihn unten.,Angehöriger
A0074,Börner,Herwig,Albert-Harloff-Weg 14,50997,Apolda,Hering Leonore,P0255,+49(0)8860084840,ggiess@example.org,Kind,2025-03-20,Besuch,Eis lustig Tisch freuen hoch.,Angehöriger
A0075,Lachmann,Peter,Rosemannplatz 69,41016,Koblenz,Gnatz Marina,P0460,07002 17659,raedelsofia@example.org,Kind,2025-01-26,Videocall,Land aus bekommen Wetter weg Musik Apfel.,Angehöriger
A0076,Jopich,Suse,Viola-Hänel-Weg 24,61429,Reutlingen,Linke Freya,P0286,0856218501,eheinrich@example.com,Freund,2025-04-04,Besuch,Wohnen hoch spielen antworten früh zwischen leben halbe.,Angehöriger
A0077,Kohl,Thekla,Gotthardweg 10,19431,Großenhain,Förster Wilfried,P0454,+49 (0) 6265 511047,klara41@example.org,Nachbar,2024-12-30,Telefon,Kein Minutenmir hören anfangen haben Boden.,Angehöriger
A0078,Ziegert,Dora,Krausegasse 7,66183,Tirschenreuth,Löchel Tassilo,P0668,0224447212,ahofmann@example.com,Nachbar,2025-03-13,Telefon,Hart wirklich sechs Lehrer.,Angehöriger
A0079,Gunpf,Elizabeth,Döringplatz 12,06596,Meiningen,Hermighausen Raimund,P0949,06924593752,sjuncken@example.net,Kind,2025-04-21,Besuch,Zehn später gesund fährt stark hat wieder.,Angehöriger
A0080,Scheel,Hans-Werner,Hanny-Wilmsen-Weg 53,73741,Suhl,Buchholz Michelle,P0498,02434 266179,zsaeuberlich@example.net,Freund,2025-03-17,Besuch,Mein steigen Hand Wasser Maus packen.,Angehöriger
A0081,Dörr,Detlef,Gerta-Stadelmann-Ring 52,90965,Büsingen am Hochrhein,Werner Arno,P0925,+49(0)1438889937,remo79@example.net,Ehepartner,2025-03-16,Besuch,Über las Garten wer bis Tür.,Angehöriger
A0082,Faust,Janett,Jockelring 49,38757,Mayen,Hiller Raik,P0003,05140 105123,birgidfreudenberger@example.com,Freund,2025-03-27,Brief,Fehlen hängen einfach Papa jetzt Angst nur.,Angehöriger
A0083,Mende,Hans-Rudolf,Krebsgasse 59,34191,Kehl,Ritter Niko,P0293,03714785969,hschaaf@example.com,Freund,2025-02-17,E-Mail,Nämlich Tier Schuh geben nur bin davon.,Angehöriger
A0084,Henck,Erkan,Drubplatz 85,28669,Rockenhausen,Schmidtke Anneli,P0736,0627828274,hans-guentherjopich@example.com,Freund,2025-04-07,Besuch,Woche lassen Eltern heute Monate reich.,Angehöriger
A0085,Stolze,Saban,Liebeltweg 25,72190,Halberstadt,Wieloch Hubertine,P0304,+49(0)4384279788,ruppersbergerercan@example.com,Kind,2025-05-05,Telefon,Mehr sofort sollen kam etwas ist.,Angehöriger
A0086,Söding,Jelena,Konstantinos-Beckmann-Straße 75,51713,Wittmund,Stadelmann Katerina,P0754,(05962) 923309,annita49@example.net,Nachbar,2025-01-14,Telefon,Gab freuen versuchen zur schenken.,Angehöriger
A0087,Ernst,Dragan,Bonbachring 96,23253,Neustadtner Waldnaab,Geisler Bärbel,P0322,+49 (0) 9466 711684,uli75@example.net,Ehepartner,2024-12-15,Telefon,Seit klettern rufen halten.,Angehöriger
A0088,Reinhardt,Carl,Harloffstraße 75,74545,Rehau,Schmidt Karl-Wilhelm,P0489,05001 701277,lorchhansjoachim@example.net,Nachbar,2025-05-30,E-Mail,Dir wieder früh reich Fisch.,Angehöriger
A0089,Stadelmann,Peer,Berndt-Kroker-Allee 21,36110,Neu-Ulm,Niemeier Cordula,P0059,+49(0)2938 700516,wladimirboucsein@example.org,Nachbar,2025-02-23,Telefon,Brot Haus Geburtstag heute.,Angehöriger
A0090,Weller,Margareta,Florence-Stey-Platz 24,89092,Jena,Reising Hilma,P0071,+49(0) 269731121,bkiller@example.com,Nachbar,2025-05-08,Telefon,Fuß bin Minute neun nimmt.,Angehöriger
A0091,Stumpf,Lia,Minna-Sorgatz-Ring 87,89836,Spremberg,Trubin Eleonora,P0883,+49(0)3761379180,sylke52@example.com,Kind,2025-05-21,Videocall,In merken dumm können zurück bekommen nass.,Angehöriger
A0092,Hesse,Alex,Arnulf-Bonbach-Straße 16,86661,Görlitz,Haering Ute,P0965,+49(0)4183 285691,hildburg63@example.org,Nachbar,2025-01-28,Besuch,Dafür nun Ball ruhig rennen durch.,Angehöriger
A0093,Trommler,Aleksandr,Hilma-Atzler-Platz 75,58842,Cuxhaven,Kühnert Albertine,P0609,+49(0)1056 48149,oestrovskyullrich@example.net,Ehepartner,2025-02-18,E-Mail,Versuchen draußen Ding spielen waschen schaffen dafür.,Angehöriger
A0094,Pechel,Jolanda,Baldur-Aumann-Platz 11,75622,Rastatt,Bruder Otto,P0430,(06353) 65419,ernst-august80@example.org,Geschwister,2025-01-24,E-Mail,Zug wohl Bein Kopf führen unter gesund.,Angehöriger
A0095,Meyer,Birgitt,Paul-Gerhard-Gute-Ring 73,93759,Fallingbostel,Nette Rose,P0536,03206 03850,abdullah64@example.org,Enkel,2025-01-21,Brief,Immer Wort Zeitung denken Fußball.,Angehöriger
A0096,Heinrich,Aziz,Thiesring 27,19182,Biedenkopf,Bonbach Doris,P0686,(09062) 344565,torsten43@example.org,Geschwister,2025-06-05,Brief,Spät Nase die dort.,Angehöriger
A0097,Johann,Vladimir,Dussen vanstr. 31,37474,Bremen,Klotz Czeslaw,P0272,+49 (0) 4903 521356,steykristian@example.com,Freund,2025-05-14,Besuch,Antworten hängen Kind sind.,Angehöriger
A0098,Dehmel,Jakob,Dobesallee 86,10032,Lobenstein,Zobel Frieda,P0661,01994101372,kabusevangelos@example.org,Enkel,2025-06-05,Videocall,Drehen müde traurig.,Angehöriger
A0099,Oestrovsky,Rico,Ralph-Stoll-Straße 41,53244,Dresden,Schmidtke Hans-Gerhard,P0952,+49(0)9993476870,holtramazan@example.org,Ehepartner,2025-03-01,Telefon,Fisch öffnen mein alt Herz Schwester langsam.,Angehöriger
A0100,Neureuther,Liesa,Rosemannstr. 59,64205,Aurich,Hesse Kunibert,P0637,+49(0)0785 93213,josereinhardt@example.net,Nachbar,2024-12-25,Telefon,Müssen zum Hilfe will zwei.,Angehöriger
A0101,Gierschner,Hakan,Deborah-Junck-Allee 10,90599,Regensburg,Döring Isabell,P0551,+49(0) 784270103,aloisputz@example.com,Kind,2024-12-15,E-Mail,Erde dauern schön wenn unter gestern an nass.,Angehöriger
A0102,Faust,Simone,Milica-Putz-Ring 34,56915,Hildburghausen,Wernecke Frauke,P0136,+49 (0) 2675 289539,pirminjaentsch@example.net,Enkel,2025-04-19,Telefon,Dürfen ab schreiben müde.,Angehöriger
A0103,Winkler,Mirjana,Hans-Christian-Schleich-Ring 32,91725,Germersheim,Sorgatz Jane,P0379,05215704331,jerzy10@example.org,Enkel,2025-02-23,Besuch,Zeigen war Leben Herr Mensch bringen.,Angehöriger
A0104,Zirme,Wolf,Gotthold-Mentzel-Gasse 57,40541,Illertissen,Lorch Nina,P0854,+49 (0) 6218 159970,ksoeding@example.net,Nachbar,2025-05-26,Brief,Ball gibt ziehen ich.,Angehöriger
A0105,Ullmann,Birte,Speerring 79,31069,Döbeln,Gertz Ahmad,P0827,+49(0)5061497310,goetzschweitzer@example.com,Geschwister,2025-06-11,E-Mail,Unten gelb hoch laut rot Blume mein.,Angehöriger
A0106,Koch II,Hans-Friedrich,Koch IIplatz 2,04774,Großenhain,Wernecke Hanno,P0684,(00211) 586938,kraushaarmaria@example.net,Nachbar,2025-03-01,Brief,Schlagen will müde Ferien Geburtstag hinter verlieren.,Angehöriger
A0107,Paffrath,Aribert,Ernst-Otto-Wernecke-Straße 85,23320,Bitterfeld,Bähr Georgia,P0107,(06329) 45116,urohleder@example.com,Kind,2025-03-20,Brief,Stark oben los.,Angehöriger
A0108,Dowerg,Siegfried,Fischerplatz 15,19148,Lörrach,Rosenow Pascal,P0912,+49(0)6799 70246,ellischlosser@example.net,Ehepartner,2025-04-20,E-Mail,Hinter Wagen schlimm.,Angehöriger
A0109,Weinhage,Benjamin,Heuserring 20,54447,Geithain,Köster Stanislaw,P0279,+49 (0) 4754 691373,fweihmann@example.net,Enkel,2025-05-22,E-Mail,Liegen dir Geld lesen.,Angehöriger
A0110,Zahn,Franz-Josef,Hakan-Gröttner-Platz 27,30705,Gunzenhausen,Girschner Zdenka,P0735,07861035797,victoriamuehle@example.net,Enkel,2025-03-25,Besuch,Dorf waschen sind schlecht fünf hier.,Angehöriger
A0111,Rudolph,Gotthold,Nadine-Hartung-Allee 88,34680,Naila,Fechner Hartmut,P0650,+49 (0) 2903 494466,valerij43@example.com,Enkel,2025-02-08,E-Mail,Treffen hoch bringen Licht rot unten helfen.,Angehöriger
A0112,Scheibe,Frieda,Huhnweg 63,71545,Griesbach Rottal,Heuser Maren,P0258,(04328) 30965,irmtraudbauer@example.net,Ehepartner,2025-03-16,Telefon,Frau immer Hilfe Arbeit Schule.,Angehöriger
A0113,Grein Groth,Charlotte,van der Dussenweg 82,87584,Staßfurt,Haering Fritz,P0434,02417 24825,hartungnorman@example.org,Enkel,2025-04-30,Telefon,In warm heißen Nase Kopf.,Angehöriger
A0114,Möchlichen,Erkan,Nuran-Schulz-Weg 1,73816,Lübben,Hendriks Tibor,P0342,+49(0)2235697252,neuschaefermeik@example.net,Kind,2025-06-13,Brief,Onkel aber früh sollen drehen Sonne.,Angehöriger
A0115,Zimmer,Adelheid,Folker-Schmiedecke-Straße 21,66760,Pfaffenhofen an der Ilm,Schmiedt Bela,P0760,+49(0) 505830033,ludwig21@example.com,Freund,2025-03-17,E-Mail,Draußen treffen Geburtstag ganz sein.,Angehöriger
A0116,Pruschke,Dina,Lübsweg 91,57532,Arnstadt,Schuchhardt Justina,P0438,+49(0) 323098215,kohlpetra@example.net,Nachbar,2025-01-30,Telefon,Oben nein Auto Buch um Auto dafür.,Angehöriger
A0117,Kramer,Till,Bernadette-Herrmann-Straße 15,30461,Schwerin,Höfig Petra,P0078,(02618) 914117,eileengute@example.com,Geschwister,2025-05-16,Besuch,Halten ich doch merken weiter.,Angehöriger
A0118,Nerger,Heidi,Heinzgasse 70,11972,Oranienburg,Stumpf Veit,P0037,+49(0)1437 447012,hoffmannosman@example.net,Enkel,2025-02-10,E-Mail,Brauchen Sohn aus verkaufen.,Angehöriger
A0119,Seifert,Gilda,Mattias-Klemt-Straße 71,15521,Lippstadt,Textor Hassan,P0152,04676 212021,eschaefer@example.net,Freund,2025-04-18,Besuch,Noch spät noch vielleicht.,Angehöriger
A0120,Vogt,Rahel,Xaver-Neuschäfer-Gasse 6,70145,Vilsbiburg,Dörschner Klemens,P0316,(08993) 58891,uspeer@example.org,Enkel,2025-03-13,Telefon,Deshalb tun was nun alle Wiese.,Angehöriger
A0121,Möchlichen,Amalia,Gehringergasse 46,53540,Quedlinburg,Dippel Erdal,P0216,(06631) 77971,umatthaei@example.org,Geschwister,2025-06-12,Besuch,Brot ihn mit.,Angehöriger
