Mitarbeiter-ID,Abteilung,Nachname,Vorname,Straße + Hnr,PLZ,Wohnort,Telefon,E-Mail,Rolle
M0065,Hauswirtschaft,Schüler,Alexej,Irmela-Fechner-Ring 77,09539,Erding,(01851) 88888,krebspascale@example.com,Mitarbeiter
M0066,Hauswirtschaft,Schuster,Aziz,Kösterring 68,51531,Delitzsch,+49(0)5852772217,hornighans-wolfgang@example.org,Mitarbeiter
M0067,Medizinischer Dienst,Gute,Lissi,Mahmut-Jessel-Weg 71,87403,Jüterbog,+49(0)5415667652,fsuessebier@example.com,Mitarbeiter
M0068,Pflege,Pohl,Stefanie,Carstenweg 88,16928,Hettstedt,+49(0)1544 796275,uberger@example.com,Mitarbeiter
M0069,Pflege,Lübs,Elisabet,Schwitalallee 88,16582,Dinkelsbühl,(07021) 355690,hannamende@example.com,Mitarbeiter
M0070,Medizinischer Dienst,Martin,Peer,Christiana-Etzler-Weg 99,65431,Wittenberg,+49 (0) 7868 144739,henri73@example.org,Mitarbeiter
M0071,Medizinischer Dienst,Briemer,Franz-Josef,Gerlachweg 15,15518,Hannover,+49 (0) 2583 132370,birte95@example.com,Mitarbeiter
M0072,Medizinischer Dienst,Rohleder,Magarete,Eleonore-Christoph-Gasse 56,67866,Cuxhaven,01778528922,dpaffrath@example.org,Mitarbeiter
M0073,Verwaltung,Fliegner,Anna-Maria,Gehringerplatz 59,35841,Fallingbostel,(08424) 98182,guentersorgatz@example.net,Mitarbeiter
M0074,Pflege,Schleich,Irmi,Rosegasse 93,10943,Schwarzenberg,(00784) 47364,sbriemer@example.org,Mitarbeiter
M0075,Medizinischer Dienst,Mans,Gino,Nettestraße 65,59255,Lippstadt,+49 (0) 5881 537147,friedbertdietz@example.org,Mitarbeiter
M0076,Verwaltung,Kraus,Klaus Dieter,Heringallee 65,59532,Osterburg,07470 168733,benedikt04@example.com,Mitarbeiter
M0077,Pflege,Söding,Donata,Hörlestr. 81,16245,Kehl,+49(0)6098358416,jwieloch@example.com,Mitarbeiter
M0078,Medizinischer Dienst,Scholz,Marieluise,Filippo-Dietz-Straße 82,58523,Nördlingen,+49(0)0025787298,matthiasschmidtke@example.com,Mitarbeiter
M0079,Verwaltung,Kreusel,Gotthilf,Scheelring 20,94705,Suhl,+49(0)6940 974993,saeuberlichwolf-dietrich@example.org,Mitarbeiter
M0080,Medizinischer Dienst,Schuchhardt,Annekatrin,Finkeallee 98,09130,Helmstedt,0263689702,baerbeljunk@example.net,Mitarbeiter
M0081,Verwaltung,Putz,Wojciech,Johannplatz 70,85854,Euskirchen,+49(0) 484344375,jkeudel@example.net,Mitarbeiter
M0082,Pflege,Hövel,Kai-Uwe,Christel-Stey-Weg 77,65240,Warendorf,+49(0)5747 338484,elmarschmiedt@example.net,Mitarbeiter
M0083,Medizinischer Dienst,Henck,Cynthia,Bernard-Staude-Weg 63,30165,Burgdorf,(02082) 67734,kaspar01@example.net,Mitarbeiter
M0084,Pflege,Heinrich,Christiana,Sigrid-Gertz-Straße 15,06724,Amberg,+49(0)9915 47887,mirjanapaertzelt@example.com,Mitarbeiter
M0085,Medizinischer Dienst,Gröttner,Jörn,Maxim-Fröhlich-Allee 40,42054,Eisenach,(06685) 161227,sylwia30@example.com,Mitarbeiter
M0086,Verwaltung,Heinz,Ramon,Wellerring 8,49904,Ueckermünde,+49(0) 017426841,patrick93@example.org,Mitarbeiter
M0087,Verwaltung,Eimer,Vanessa,Fliegnerstraße 73,68783,Tecklenburg,(01878) 519108,christareising@example.org,Mitarbeiter
M0088,Pflege,Junken,Gregor,Drubweg 11,97187,Mettmann,+49 (0) 8679 087406,margitta03@example.net,Mitarbeiter
M0089,Hauswirtschaft,Bien,Claus,Kaulweg 9,80170,Ludwigslust,+49 (0) 2656 766182,ernest28@example.com,Mitarbeiter
M0090,Verwaltung,Eckbauer,Annemie,Martha-Adler-Gasse 17,78686,Gotha,05243 106903,cemilditschlerin@example.net,Mitarbeiter
M0091,Hauswirtschaft,Matthäi,Antonios,Ioannis-Weihmann-Gasse 71,73830,Nürtingen,+49(0)3959 95342,sandrojacob@example.com,Mitarbeiter
M0092,Verwaltung,Roht,Burghard,Erdmute-Stiebitz-Straße 34,05685,Ludwigslust,+49 (0) 4628 733427,roerrichtsandor@example.com,Mitarbeiter
M0093,Hauswirtschaft,Radisch,Brit,Reinald-Henk-Ring 28,51751,Badoberan,+49(0)6990 13983,vhaenel@example.com,Mitarbeiter
M0094,Verwaltung,Austermühle,Valeska,Tania-Grein Groth-Allee 92,73936,Querfurt,04678544587,zdippel@example.net,Mitarbeiter
M0095,Medizinischer Dienst,Wesack,Walter,Haasering 52,60932,Griesbach Rottal,09964 23536,alicerogner@example.net,Mitarbeiter
M0096,Medizinischer Dienst,Stolze,Theresia,Hertrampfallee 57,77252,Weißwasser,07280 80100,oetzler@example.org,Mitarbeiter
M0097,Hauswirtschaft,Trommler,Cetin,Albert-Harloff-Weg 16,50997,Apolda,+49(0)8860084840,ggiess@example.org,Mitarbeiter
M0098,Verwaltung,Fischer,Annekatrin,Hans-Jochen-Scholl-Weg 29,54615,Mittweida,(03341) 016668,obluemel@example.org,Mitarbeiter
M0099,Pflege,Geißler,Hubertine,Alicia-Lübs-Allee 44,91803,Ueckermünde,(07401) 489025,haenelcaecilia@example.org,Mitarbeiter
M0100,Pflege,Trub,Katalin,Buchholzring 76,93968,Kulmbach,+49 (0) 1850 163159,uwohlgemut@example.org,Mitarbeiter
